id,text,source,created_at,place
8.23E+17,"‰Õö #WomensMarch‰Õä Juan Pablo Montoya‰Õ_ #SUPERLIGAAGUILAxWIN‰ÕÜ Atanasio Girardot‰ÕÎ MilÌÁn2017/1/21 18:58 COT #trndnl https://t.co/cSmLh2Ssg4",Es Tendencia en Colombia,1/21/17 23:59,"Bogot\xe1, D.C., Colombia"
8.23E+17,YES.. and are henceforth known as the #WOLF (War On Literal Facts) White House. #Facts #WomensMarch #news‰Û_ https://t.co/jiATavnnBZ,Twitter Web Client,1/21/17 23:59,
8.23E+17,Have no idea what to expect but the #WomensMarch in Manhattan should be unbelievably moving. A bright beacon during dark days.,Twitter for iPhone,1/21/17 23:59,"Queens, NY"
8.23E+17,This is what democracy looks like for all of you at #WomensMarch https://t.co/EdSGnriINj,Twitter for iPhone,1/21/17 23:59,
8.23E+17,_ÙÔè_ÙÔè_ÙÔè#classic _Ù÷â #womensmarch #dc #la #chicago #equality ‰Ï__Ùè_ https://t.co/vdEH8X8ok0,Instagram,1/21/17 23:59,
8.23E+17,If U don't fight ALL kinds of #HumanTrafficking #Abortion &amp; #Abuse then u are helping the enemy https://t.co/zOEUINkiZr #WomensMarch,Twitter Web Client,1/21/17 23:59,
8.23E+17,America just showed #donaldtrump he LOST the popular vote! #WomensMarch More people marched against him than attended his inauguration,Twitter Web Client,1/21/17 23:59,
8.23E+17,"Last of #WomensMarch participants in Seattle have just arrived at Seattle Center.Real-time updates:‰Û_ https://t.co/gyASEresGZ",TweetDeck,1/21/17 23:59,
8.23E+17,"Updates on the #Womensmarch in Washington, New York and other cities https://t.co/QnobE3atFn by @RobertMackey",Twitter Web Client,1/21/17 23:59,
8.23E+17,#WomensMarch que lindo isso de lutar pelo que se acredita ‰ù_,Twitter for Android,1/21/17 23:59,
8.23E+17,"‰Õö #WomensMarch‰Õä VICICONTE SOS Ì_NICA EN MI VIDA‰Õ_ Driussi‰ÕÜ COMPLETAS TODO EN MI CELLI‰ÕÎ #LaliEnPinamar2017/1/21 20:53 ART",Es Tendencia en Argentina,1/21/17 23:59,"Ciudad Aut\xf3noma de Buenos Aires, Argentina"
8.23E+17,These are amazing #WomensMarch https://t.co/U28M5XpqWV,Twitter for Android,1/21/17 23:59,
8.23E+17,#WomensMarch https://t.co/t1JMZ9346f,Twitter for iPhone,1/21/17 23:59,
8.23E+17,why you didn't went to the #womensmarch? ‰÷_•üè @haileybaldwin,Mobile Web (M5),1/21/17 23:59,
8.23E+17,#WomensMarch https://t.co/3yfSLM8OL2,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#WomensMarch #WomensMarchLA https://t.co/dYfPkJU2TW,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Carrie Fisher's Princess Leia inspires at Women's Marches around the world: https://t.co/zq0zD3mpGp #WomensMarch... by #EW via @c0nvey,Put your button on any page! ,1/21/17 23:59,
8.23E+17,The mobilisation for #WomensMarch simply astonishing. Now this does lift ones spirits! https://t.co/2cAfgSO0Ig,Twitter Web Client,1/21/17 23:59,
8.23E+17,South mall at the capitol building #WomensMarch #marchonaustin #austin https://t.co/GOE6stbhGo,Twitter for iPhone,1/21/17 23:59,"Austin, TX"
8.23E+17,"""We cannot all succeed when half of us are held back"" -Malala Yousafzai #WomensMarch",Twitter for iPhone,1/21/17 23:59,
8.23E+17,@Ms_MaryContrary @StaceyPrussman must've printed a couple dozen of these today #WomensMarch https://t.co/m92dnbQGud,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#WomensMarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Bravo to all who marched! #WomensMarch -If ya need a laugh 2nite I'm at @TheComedyStore w/@brianmonarch @chrisdelia‰Û_ https://t.co/7cT2p0yg1k,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"""Gender equality is not a women's issue, it's a human rights issue."" - Adelaide Kane #WomensMarch https://t.co/lCagBamqKl",Twitter for iPhone,1/21/17 23:59,
8.23E+17,Parking garage next to march route. #WomensMarch https://t.co/vj5ma9bYRj,Twitter for Android,1/21/17 23:59,
8.23E+17,"‰Õö #WomensMarch‰Õä #TrashTVTalk‰Õ_ Jens‰ÕÜ Anzeige‰ÕÎ #sportstudio2017/1/22 00:53 CET #trndnl https://t.co/p8qpEIM5hj",Deutschland in Trends,1/21/17 23:59,"Berlin, Germany"
8.23E+17,Julgue menos e respeite mais #WomensMarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"Isso Ì© o feminismo!Isso Ì© necessÌÁrio!Isso Ì© incrÌ_vel!  #WomensMarch",Twitter Web Client,1/21/17 23:59,
8.23E+17,"FWIW I didn't see a single #MAGA person today at #WomensMarch, which is odd because yesterday there were 50 million of them",IFTTT,1/21/17 23:59,
8.23E+17,"Just curious, Were these women marching when Bill Clinton was accused of rape or sexual misconduct 3 times and was President? #WomensMarch",TweetCaster for Android,1/21/17 23:59,
8.23E+17,#WomensMarch OjalÌÁ estar allÌ_,Twitter for Android,1/21/17 23:59,
8.23E+17,"‰Õç Sergio AlcÌÁntara‰Õ_ #WomensMarch‰Õè #LuceroEnRD2017‰Õê Vargas‰ÕÔ Danny Santana2017/1/21 19:58 AST #trndnl https://t.co/b28Rg0WjMN",Es Tendencia en Dominicana,1/21/17 23:59,"anto Domingo de Guzm\xe1n, Dominican Republic"
8.23E+17,Anyone notice that Hillary wasn't honored at the #WomensMarch? Damn. https://t.co/S9qFvvAxSR,Twitter for iPhone,1/21/17 23:59,
8.23E+17,The mom took the girls to the DC #WomensMarch and Paigey made a news feed :'))))) https://t.co/J7dSTGqsuG,Twitter Web Client,1/21/17 23:59,
8.23E+17,Federal Triangle at 12:15. #WomensMarchOnWashington #WomensMarch https://t.co/qN5e53pdte,Twitter for iPhone,1/21/17 23:59,The National Mall
8.23E+17,@michellemalkin @colleenhagerty Isn't that littering?  Graffiti? It's definitely lame! #WomensMarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#repost @justinwireglam _ÙÔÎ_ÙèÈ_Ùªè_ÙèÈ_ÙÔè_ÙèÈ#womensmarch #womensmovement #empowerment #empoweringwomen #empowerouryouth... https://t.co/tbefsd3uxn,Facebook,1/21/17 23:59,
8.23E+17,"Barcelona, Washington, L.A., ParÌ_s y BerlÌ_n se unen al #WomensMarch https://t.co/DhacHS08yC",Twitter for iPhone,1/21/17 23:59,
8.23E+17,"#womensmarch Today's theme song - Bongwater  ""The Power of Pussy"" https://t.co/f52Ufd05JI",Twitter Web Client,1/21/17 23:59,
8.23E+17,that's my girls_ÙÕÒ_ÙÕ»_Ùè_ #WomensMarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Because people seem to be very misinformed to what today's #WomensMarch means here's a link to what today stands for https://t.co/qRG9EgeqqJ,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"‰Õö #WomensMarch‰Õä #RaeesInDubai‰Õ_ #AAP_ˆ_Êˆ_Ñ_ˆ__ˆ´ö‰ÕÜ #NewSurpriseHKNKJ‰ÕÎ #ThinkBIGSundayWithMarsha2017/1/22 05:28 IST",Trends from India,1/21/17 23:59,"Chhattisgarh, India"
8.23E+17,#WomensMarch _Ù÷ç_Ù÷_ https://t.co/U4e7IZrCM1,Twitter for Android,1/21/17 23:59,
8.23E+17,#womensmarch #sacramento.   What a great day to celebrate the #Resistance. https://t.co/Sh0rUZihkP,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"#WomensMarchåÊ in #Eugene draws 1,000+ // story from @chelseagorrow and photos by @CollinAndrewRG  https://t.co/6iplqH9cmn",Twitter for iPhone,1/21/17 23:59,"Eugene, OR"
8.23E+17,"Charlotte, North Carolina! #WomensMarch https://t.co/5cSwp5HSkC",Twitter for iPhone,1/21/17 23:59,
8.23E+17,#WomensMarch‰ªâ  Where were the marching women when #OBAMAsACA sent them(60%ofThePTworkforce)home 2 bake cookies &amp; make babies 4 @PPAdvocates,Twitter Web Client,1/21/17 23:59,Costa Rica
8.23E+17,@ErikaHarlacher did my part in NYC #WomensMarch,Twitter Web Client,1/21/17 23:59,
8.23E+17,I got flipped off by a guy in a SMART car. Didn't have the _Ù__ to tell him that even people in Priuses laugh at him. #WomensMarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,So that this beautiful little girl can grow up with equality and without misogyny. #WomensMarch‰Û_ https://t.co/zXHYb3uYwC,Twitter for Android,1/21/17 23:59,"Toronto, Ontario"
8.23E+17,My Sis and I!#WomensMarch #WomenMarchSacramento @WomensMarchSac https://t.co/RmX0Rq5cDu,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#womensmarch @ Downtown Seattle https://t.co/OSAnuE0Iw1,Instagram,1/21/17 23:59,"Seattle, WA"
8.23E+17,"Nasty Women: https://t.co/Ga428QvZu2#WMOW #poetsagainsttrump #writersresist #poetry #WomensMarchOnWashington #womensmarch",Twitter for iPhone,1/21/17 23:59,
8.23E+17,#whyIMarch #WomensMarch https://t.co/azo9CQm1Gb,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Bill Clinton was said to be ecstatic about his wife going to the #WomensMarch. He said he was going to use the alone time efficiently 8=‰Ï__ÙèÈD_ÙÕ_,Twitter for iPhone,1/21/17 23:59,
8.23E+17,The #WomensMarch NOLA was amazing _ÙÔè_Ùè_,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"Mothers, grandmas, aunts, sisters, cousins, daughters, and nieces all in one photograph.#WomensMarch #WOMANPOWER https://t.co/fHOrR7VZ8C",Twitter for iPhone,1/21/17 23:59,
8.23E+17,wish I could participate in #WomensMarch :// stuck at work tho,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"@smerconish  #WomensMarch not about losing an election, about people not wanting to lose our humanity.A global event, and just the begining",Twitter Web Client,1/21/17 23:59,
8.23E+17,#womensmarchonwashington #womensmarch #blacklivesmatter #blm #nastywoman @ The Women's March on‰Û_ https://t.co/rjxuGxnaP7,Instagram,1/21/17 23:59,
8.23E+17,"And if you don't know, now you know, Trump #WomensMarch #WomensMarchOnWashington https://t.co/MboIzBqfF8",Twitter for iPhone,1/21/17 23:59,
8.23E+17,Portland brought it today #WomensMarch https://t.co/3NYwlqqaW3,Twitter for Android,1/21/17 23:59,
8.23E+17,"‰Õö #WomensMarch‰Õä #ColoColoJuegaEnEl13‰Õ_ #bomberosdechile‰ÕÜ #MisterPiernas2017‰ÕÎ #FrenteAmplio2017/1/21 20:58 CLST https://t.co/xGRvgIQjMk",Es Tendencia en Chile,1/21/17 23:59,"Santiago, Chile"
8.23E+17,#WomensMarch 1/21/17 https://t.co/31N2SzH1kq,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"In week 17-18 the fetus sucks his/her thumb, sticks out the tongue and is more active. #womensmarch #biology #science #prochoice",Twitter Web Client,1/21/17 23:59,
8.23E+17,Gloria Steinem ‰Û¢ 1-21-2017 ‰Û¢ Women's March on Washington #WomensMarch https://t.co/qiEzqTvM5G,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#WomensMarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Nadie quiere las viejas tetas de #Madonna un verdadero Cristiano no acepta gays! #WomensMarch,Twitter Web Client,1/21/17 23:59,
8.23E+17,"‰Õö #CarnetDeLaMiseria‰Õä #WomensMarch‰Õ_ #SacateTuCarnet‰ÕÜ #GanaSeguidoresVenezuela‰ÕÎ #OrquideaSSS2017/1/21 19:23 VET https://t.co/TZZWvFfY1p",Es Tendencia en Venezuela,1/21/17 23:59,"Caracas, Venezuela"
8.23E+17,"Right now, we are living history. And it is beautiful. #WomensMarch",Twitter for iPhone,1/21/17 23:59,
8.23E+17,"I'm so happy, proud &amp; overwhelmed with everything I've been seeing from #WomensMarch , to see people united and hopeful for a better future‰ù_",Twitter for iPhone,1/21/17 23:59,
8.23E+17,#WomensMarch pisou no trump tanto que ele deve tar bem no nÌ_cleo da terra,Twitter for iPad,1/21/17 23:59,
8.23E+17,#WomensMarch https://t.co/yODgYHxwlU,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Had to drive 2.5 hours there and 2.5 hours back home from this SailorMoon thing. Wish I had gone to ATX to march instead. #WomensMarch  _Ù÷_,Twitter for iPhone,1/21/17 23:59,
8.23E+17,@presuburbia couldn't attend #WomensMarch myself but my heart is full bc ik i'm represented,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"Carrie hubiese estado tan orgullosa de todos#WomensMarch https://t.co/EhdnbKJviz",Twitter for iPhone,1/21/17 23:59,
8.23E+17,"january 21st 2017 is #a day that is going down in #historyour bodyour mindour POWER #WomensMarch https://t.co/ptjKNn1taa",Twitter for iPhone,1/21/17 23:59,
8.23E+17,"Dear #Press, a little help: @PressSec lied at his first press briefing. #Inauguration #WomensMarch",Twitter Web Client,1/21/17 23:59,
8.23E+17,"""Something 'bout you makes me feel like a dangerous woman"" #WomensMarch",Twitter Web Client,1/21/17 23:59,
8.23E+17,two claps for the golden clit ‰Ï¬ #womensmarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#Feminist #WomensMarch https://t.co/dwFRerbVi9,Twitter for Android,1/21/17 23:59,
8.23E+17,"‰Õö #WomensMarch‰Õä Carlos SÌÁnchez‰Õ_ #ElDineroSeInventÌ_Para‰ÕÜ #YaEsFinDeSemanaPara‰ÕÎ #GayGames20182017/1/21 17:58 CST",Trendinalia MÌ©xico,1/21/17 23:59,"Cuauht\xe9moc, Distrito Federal"
8.23E+17,"March on Women, Mothers, Sisters, Daughters March on!_ÙÔè_Ùè_ #WomensMarch #WomensRights",Twitter for iPhone,1/21/17 23:59,"Los Angeles, CA"
8.23E+17,"March on Women, Mothers, Sisters, Daughters March on!_ÙÔè_Ùè_ #WomensMarch #WomensRights",Twitter for iPhone,1/21/17 23:59,"Los Angeles, CA"
8.23E+17,My account is filled with #WomensMarch tweets and pictures and I'm so happy we can come together as a community and beat the patriarchy,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#WomensMarch goes global. See photos from across the US + the world at https://t.co/0i6dB8fM0q by #NPR via @c0nvey,Put your button on any page! ,1/21/17 23:59,
8.23E+17,#WomensMarch https://t.co/PyAbH070nT,Twitter for iPhone,1/21/17 23:59,
8.23E+17,love trumps hate. #womensmarch #capetownsistermarch #womensmarchct #womensmarchcpt @ Company's‰Û_ https://t.co/QgtrqQS8O1,Instagram,1/21/17 23:59,"Cape Town, South Africa"
8.23E+17,Keep tweeting about the wonderful marches and their success! #WomensMarchOnWashington #WomensMarch https://t.co/9RNbYeWODD,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Amazing how billions of people standing up for their believes that I believe too! #WomensMarch SI SE PUEDE‰ù£•üè‰ù£•üè‰ù£•üè_ÙÕÜ_ÙÕ_ https://t.co/Tt9Iz4ihCy,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"Gostava de ter ido, tbh.#WomensMarch all the way through_ÙÕ»‰ù_",Twitter for Android,1/21/17 23:59,
8.23E+17,It was so inspiring to see so many pictures of the #WomensMarch on instagram today.,Twitter for iPhone,1/21/17 23:59,
8.23E+17,@6TA99YqxvDkg2kU @globalnews @globalhalifax 100yrs ago a group of women started the #WomensMarch demanding right to vote. Welcome to reality,Twitter Web Client,1/21/17 23:59,"Missouri, USA"
8.23E+17,Nonetheless I'm glad to see the amount of ppl coming together #WomensMarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#womensmarch #BinghamtonNY @ Broome County Courthouse https://t.co/xON2CJOCvc,Instagram,1/21/17 23:59,
8.23E+17,What propaganda are all these radicalized women consuming? #womensmarch https://t.co/Ll5HqHWai6,Twitter Web Client,1/21/17 23:59,
8.23E+17,Can we please talk about how more people attended the #WomensMarch than Trump's #Inauguration _ÙÕ»_ÙÔÎ_ÙÕ»_Ù÷â_ÙÕ»,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"‰Õö #GotTalent‰Õä #WomensMarch‰Õ_ #L6Nempleorobots‰ÕÜ #L6Nfacturaheladora‰ÕÎ #L6NconCuerda2017/1/22 00:58 CET #trndnl https://t.co/K5DFqqcseW",Es Tendencia en EspaÌ±a,1/21/17 23:59,"Madrid, Spain"
8.23E+17,Ìätats-Unis: des centaines de milliers de personnes manifestent contre Donald Trump #marchedesfemmes #WomensMarch  https://t.co/O47TaoC6yg,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#WomensMarch el emoji _ÙÕ_,Twitter for Android,1/21/17 23:59,
8.23E+17,"Only counter-protest was a white guy and his wife yelling ""8 more years"", with the wife spitefully adding ""can't wait!"" #WomensMarch",Twitter for iPad,1/21/17 23:59,
8.23E+17,"I love this ‰ù_•üè_ÙÔ__ÙÔ__ÙÔ__ÙÔ__ÙÔ__ÙÔ_‰÷¨•üè_Ùè_•üè‰Ûç_ÙÎö‰ÏÎ_Ùè_Repost from ahmadquazi _ÙªÎ_Ùè_#WomenEmpowerment #WomensMarch‰Û_ https://t.co/DGdk9ipp1A",Instagram,1/21/17 23:59,
8.23E+17,Proud to carry @shepardfairey powerful images @womensmarch Thank U SF + The Amplifier Project for making art access‰Û_ https://t.co/bZYGN30d9e,Twitter for iPhone,1/21/17 23:59,
8.23E+17,I think the #WomensMarch is an incredible thing. Politics has little to do with the basic fact we need to be better for women.,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"#WomensMarch#SaudiArabia https://t.co/4OyOmspthT",Twitter Web Client,1/21/17 23:59,
8.23E+17,Honestly though. _ÙÒá: @Gabrielle913 #womensmarch https://t.co/6BPkR6fkfw,Twitter for iPhone,1/21/17 23:59,
8.23E+17,The faces of #ourNY at the #womensmarchnyc - this is our New York #immigrantNY #womensmarch https://t.co/fkKSsYy7bq,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"One of the many, many reasons today's #WomensMarch is important.https://t.co/ARQomsAOab",Twitter Web Client,1/21/17 23:59,
8.23E+17,All praise and admiration to the women and allies who came together today against oppression and discrimination everywhere! #WomensMarch,Twitter Web Client,1/21/17 23:59,
8.23E+17,"Why didn't any of the #womensmarch ladies ever march against acid attacks, female genital mutilation or other oppression in Middle East?",Twitter for iPhone,1/21/17 23:59,
8.23E+17,@MyTwoMums Me &amp; Squidge went to the #Shipley #womensmarch It was fantastic! Felt very proud to be a part of it. Her‰Û_ https://t.co/emNDYwsbw2,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"‰Õö #WomensMarch‰Õä #fcseguindofcs‰Õ_ Vila Nova‰ÕÜ Fagner‰ÕÎ #cocodegatomelhorquekpop2017/1/21 21:53 BRST #trndnl https://t.co/MffVmqH2oJ",TendÌ»ncias Brasil,1/21/17 23:59,"Bras\xedlia, Brazil"
8.23E+17,@womensmarch PDX _ÙÕÑ #WomensMarch https://t.co/eplwRj9fSp,Twitter for iPhone,1/21/17 23:59,
8.23E+17,The signs were my favorite.  #seattle #womensmarch https://t.co/O5NWVtQ1sV https://t.co/T62ipWUAN8,IFTTT,1/21/17 23:59,
8.23E+17,"Harry tambiÌ©n fue a la #WomensMarch y llevÌ_ un cartel que decÌ_a: ""Trump, live the women alone, please. All the love. H.""",Twitter for Android,1/21/17 23:59,
8.23E+17,seeing all the pictures/videos from protests all over the world is honestly making me so happy #WomensMarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,uma tag dessas bicho #WomensMarch,Twitter Web Client,1/21/17 23:59,
8.23E+17,nÌ£o consigo descrever o orgulho que to dessas pessoas sÌ©rio eu abro um sorriso a cada foto e video que vejo #WomensMarch,Twitter for Android,1/21/17 23:59,
8.23E+17,#WomensMarch #DanceParty #twwca #TWWUSA https://t.co/SOD48kch9F,Twitter for Android,1/21/17 23:59,
8.23E+17,"Well, @seanspicer, at least the sparse #Inauguration crowd was bigger than @realDonaldTrump's hands!#WomensMarch‰Û_ https://t.co/EL1aD0yNsC",Twitter Web Client,1/21/17 23:59,
8.23E+17,.@Edwina_Currie You and #MaggieThatcher ignored us when we took to streets re #PollTax it was start of #NastyParty downfall. #WomensMarch,Mobile Web (M5),1/21/17 23:59,
8.23E+17,"#WomensMarch My grandson, Kaleb, at the Seattle March. https://t.co/Vc4k1kN3xt",Twitter for Android,1/21/17 23:59,"Mountain View, CA"
8.23E+17,I feel so inspired by the #womensmarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"So proud, inspired, &amp; empowered by all  those marching today for something so much bigger than ourselves #WomensMarch #Resist #ungovernable",Twitter for Android,1/21/17 23:59,
8.23E+17,"Can't be out with everyone today because I'm sick, but I'm proud of everyone on the Women's March today. You're all amazing. #WomensMarch",Twitter for iPhone,1/21/17 23:59,
8.23E+17,what's #womensmarch even fucking about?,Twitter Web Client,1/21/17 23:59,
8.23E+17,#WomensMarch Me encanta que la gente salga a la calle a defender sus derechos. Un saludo!,Twitter for Android,1/21/17 23:59,
8.23E+17,@aidybryant #NOLA #WOMENSMARCH https://t.co/CygkEuJTwm,Tweetbot for iëÙS,1/21/17 23:59,
8.23E+17,"@frangeladuo @SMShow @JohnFugelsang Just think of how proud Molly Ivins would be right now! God, I miss that woman! #WomensMarch",Twitter Web Client,1/21/17 23:59,"California, USA"
8.23E+17,"It's SO impressive to see the photos from around the world of the #WomensMarchI truly hope this leads to more strong female politicians",Twitter Web Client,1/21/17 23:59,
8.23E+17,"If this many people feel so strongly about the same issues, why do some still struggle to understand that there are issues?? #womensmarch",Twitter for iPhone,1/21/17 23:59,
8.23E+17,"""Madonna: ‰Û÷I‰Ûªve Thought About Blowing Up The White House‰Ûª"".  #WomensMarch #PresidentTrump45  https://t.co/Lljof5DNlj",Twitter for iPhone,1/21/17 23:59,
8.23E+17,Agreed! President Trump supports the success of all women! ‰ù_•üè_Ùà__Ùàü_ÙÔ©_Ùè_ #WomensMarch is a setback for women _Ùªã https://t.co/ES5kXSaHJs,Twitter for iPad,1/21/17 23:59,
8.23E+17,#WomensMarch #nastywomenmakehistory nuff said. ‰Ï__Ùè__ÙÎ_‰Ï¬_ÙÕÄ_Ùè__Ù_ä‰ù_•üè_Ù__ https://t.co/bXNWE7slpO,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#Soros Funded #WomensMarch Linda Sarsour Is Pro Sharia Law w/Ties To Hamas https://t.co/s3tD0TaXCz ‰Û_ https://t.co/Xnzqcr6xuL v @V_of_Europe,Twitter Web Client,1/21/17 23:59,
8.23E+17,@SuperWiki Yes! we are #WaywardAF and stand for equality #WomensMarch _ÙÕ_,Twitter for Android,1/21/17 23:59,
8.23E+17,I thought Madonna was Argentinian or British -- today she's saying she is 'ashamed to be American' - make up your mind.  #tcot #WomensMarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Streets of New York are mad with people heading to #WomensMarch all over the city! _Ù÷_,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Seattle! #WomensMarch https://t.co/Dq9iUrLTVN,Twitter Web Client,1/21/17 23:59,
8.23E+17,IcÌ«nico e espontÌ¢neo sem forÌ_ar uma barra igual vocÌ» tentando falar da Selena no #WomensMarch e BLM.å_ https://t.co/XSpsPrxAVk,Twitter Web Client,1/21/17 23:59,
8.23E+17,#WomensMarch https://t.co/DeZo400OpQ,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#WomensMarch https://t.co/ws62xv1zWX,Twitter Web Client,1/21/17 23:59,
8.23E+17,There are #WomensMarch all over the world. Some progress #should happen. But #sad we still have to #march for this. https://t.co/VQd9Yst9Yx,Twitter for Android,1/21/17 23:59,
8.23E+17,#womensmarch https://t.co/n0fL4HPMjB,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Wow‰ù_•üè Over 2 million people worldwide. #womensmarch https://t.co/GW8DPQ1xqK,Twitter for iPhone,1/21/17 23:59,
8.23E+17,I'm so proud of all the people participating in the #WomensMarch,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"Yo no entiendo como despuÌ©s de esto, nadie hace nada para sacar a Trump #WomensMarch",Twitter for iPhone,1/21/17 23:59,
8.23E+17,My sisters and her friend in DC. Love them! #WomensMarch  #NastyWomen https://t.co/NvloqkoHFa,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Vaste mobilisation et dÌ©termination au 2e jour de la prÌ©sidence Trump. #WomensMarch https://t.co/x0AsfnYDn3,Twitter for iPhone,1/21/17 23:59,
8.23E+17,Happy Womens March day!!!!!! #WomensMarch,Twitter for Android,1/21/17 23:59,
8.23E+17,"Build bridges, not walls. Don't hate, educate. ‰ªÛ #womensmarch #womensmarchlondon https://t.co/kLoVv3HZGl",Twitter for Android,1/21/17 23:59,
8.23E+17,What I did on my Saturday #womensmarch #womensmarchonwashington #antitrump #riseandresist #rar @‰Û_ https://t.co/4AGO2mN1AY,Instagram,1/21/17 23:59,"Washington, DC"
8.23E+17,1955 is calling...don't answer! #WomensMarch #whyIMarched #ACA #TheResistance #NastyWomen #FriendsTogether‰Û_ https://t.co/LFnviYrMUw,Twitter for iPhone,1/21/17 23:59,
8.23E+17,It was absolutely incredible. #womensmarch #wethepeople https://t.co/vJroV33V8x,Hootsuite,1/21/17 23:59,
